suspectname,idnumber,countrycode
FedEx customer care,9259429501,91
customer support,8638191685,
SunTV Customercare,9002524346,91
Customer Service Number,6289860106,91
ICICI Security Customer Care 1008,7209139894,91
ICICI Security Customer Care 1009,8734080776,91
FedEX customer care,9252564532,91
CUSTOMER SERVICE MANEGER,9039998096,91
Customer Care,8420342357,91
MGSL CUSTOMER SERVICE,9031378355,91
Customersupport Helplinenumber,8100117692,91
HDFC Securities Customer Care,9142548697,
HDFC Securities Customer Care,7209915913,
cust suresh m cr kt arc,8655276905,91
IIF Customer Service,9701998521,91
Customer Servic,8864957135,91
Online Customer Service,7811027107,91
Customer care IIFL securities,9601416194,91
customer support,9179891561,91
SBI credit card customer care,7320810798,91
Customs department,7315118393,91
Customs Department,9718078985,91
Customs department,8010057324,91
Customs Department,8375067524,91
PGIM Customer support,78428900035,91
ICSG Customer Service,8984842406,91
Mobikwik customer care,8069808320,1
DA customer service,7995953141,91
linda Customer service,9553323194,91
3.	jpm CUSTOMER SERVICE,8889746027,91
SENXAX JAMES SMITH CUSTOMER MANAGER,7846313394,44
Evie Customer Service Manager,61432997530,61
IIFL Customer Care,9629045060,91
Customer Care,7741921714,44
DA customer service,7995953141,91
DA customer service,8968024409,91
DA customer service,9010542859,91
Agoda customer service,8000501620,
Mobikwik Customer Sevice,8887916870,91
Customer care,8996999325,91
IIFL strategy customer service,7506482022,91
Jeeves customer support,8069290899,91
Customer service manager,18109652596,
Amazon Customer Helpline,8100117692,91
Groww Customer Service,7249136791,91
DA CUSTOMER SERVICE,8427486067,91
DA CUSTOMER SERVICE,9010782349,91
MAIN CUSTOMER CARE PERSON,8143685971,91
GFSL  Customer Service,8984986229,91
DATAMEER CUSTOMER SERVICE,9878358435,91
igl service customer care,8167534387,
ONLINE CUSTOMER SERVICE,9531759467,91
ONLINE CUSTOMER SERVICE,9601594075,91
DA CUSTMER SERVICE,9056293912,91
DA CUSTMER SERVICES,7416860271,91
Customer service manager,9179356093,91
Upstox Customer service,7388296864,91
Customer care Services,8051304092,91
customer care,9601327029,
CUSTUME OFFICER,9773507987,91
CUSTUME OFFICER,8131021827,91
ZIOPTO ONLINE CUSTOMER,432986392,61
Shine Customer Care,8010062222,91
Customer Care,8179347901,91
Customer Care,9618288658,91
Customer care1,7416020817,91
Customer care2,8951135326,91
SBI Securities 89 customer care,7305493825,91
customer service jefferies,8118901137,91
customer service,7383103889,91
AKI Customer Manage,8735019476,91
AKI Customer care,8511895812,91
Custmer Service App,9032590641,91
SAI CUSTMER CARE,8484849283,91
Customer care,8826095323,91
8030 exclusive customer service,9823560864,91
Customer Care representative,8754619202,91
Customer Care Helpline,8116931368,91
Customer Service,8979553898,91
advent online customer,8953376856,91
MNGL customer executive,9834864406,
Customer Service,9150909834,91
Customer Service,9384087821,91
Customer Service,8122656395,91
Customer Service,7893753595,91
Customer Service,8184629534,91
TRUECALLER NAME CUSTOMMERNU CREDITCARDBANK,8697206022,91
customer care,8273176895,91
IIFL Customer Support,9610927304,
IIFL Customer Support,8137973502,
Moneysukh Customer Service Manager,6396196425,91
Credit Card Customer Care,8527680122,91
customer experience,7050430940,91
Customer service,9771053812,
BRP Customer care,9324891890,91
BRP custcare,6306530294,91
Unknown call as Babyhug customer service,7703901158,91
customer care,8604744541,91
Customer Care pof Groww International securities,9284501531,91
customer care,9558010963,91
customer care,9561391493,91
Customer officer Neha,9927791824,
Customer Service,3131817759,92
DA Customer Service Ms Tia,8699682061,91
DA Customer Service,9652001691,91
DA Customer Service,9032275401,91
Allice Customer,7417695864,91
DA Customer service,9056293912,91
paytum custer care,9201327015,91
Customer Service,9654227504,91
CUSTOMER SERVICE,9752756648,91
Prize Department Shopping Customers,9899274168,91
custom mumbai,8672000099,91
airtel customer care,9546496481,91
IIFL Securities Custmer Care,8962681636,91
IIFL Securities Custmer care,8962681636,
Customersupport,9060631083,91
Varun Kumar SBI Customer Service,8916081497,91
RBL CUSTOMER,9058080469,91
CUSTOMER CARE,8735852681,91
Customer service,9735114164,91
SBI customer care,9965387326,
PGIM Customer Service,8873376254,
PGIM Customer Service,9990564080,
GSAM CUSTOMER MANAGER,9163450980,91
TRAI Customer Care,9221580403,91
Customer care,8807530652,
custom department IVR call,7087471578,91
Vodafone idea  customer care,9934990483,91
courierservice customersupport,8391052167,91
Customer Service Reprentative,9601836987,91
Customer Service Reprentative,9558386803,91
Ajio Customer Care,8170856802,91
Buy Lsec Customer Care,7402908109,44
MOFSL Customer Service,9601741948,91
Walton customer care,8530864164,91
GSFL Securities customer care,9030256598,91
Custom agent,8731818301,91
Customer Care,8789497418,91
Customer service,7388412016,91
customer service,2099273616,
Customer Care,7208433829,91
Deuncoin customer care whatsapp,7472978619,44
Customer Service Specialist 1008,8121535294,91
customer care,6294892480,91
DBS CARD CUSTOMER CARE,8602676789,91
Customer Service Number,7661062816,91
RBI customer service,8219827476,91
Hibox customer care,8625057306,91
MNGL customer support executive,9038385523,91
MNGL customer support executive,9341269952,91
MNGL customer support executive,9834864406,91
MNGL customer support executive,7668375019,91
Customer Care Service,6289513349,91
MOFSL Customer Service,9601741948,91
customer support,95588101904,91
Customer Care,7402755348,44
TRPH CUSTOMER SERVICE,8923857573,91
IIFL CUSTOMER SERVICE,9068163428,91
IIFL CUSTOMER SERVICE,9956575012,91
Customs Department,6000047199,91
Customer Care,8125074921,91
Claim himself Custom Department Officer,9873432175,91
Customer service associates,6232385757,91
Customer service associates,7028624339,91
customer care number,8625057306,91
Jio customer service,8391988671,91
Customer,7858060963,91
Customer,8670402024,91
Ekart customer support,7407009132,91
customer support no,9116941368,91
HDFC SECURITIES VIP SERVICES CUSTOMER CARE,9601980840,91
BFL customer service,8354937603,91
Hi Box Customer care,8625057306,91
Bajaj customer support,9732112863,91
customer care,7473964053,44
Bank of America customer service,7756877509,
FedEx customer care,9240539510,
Astha Customer Service,8456876285,91
Astha Customer Service,8975344637,91
Astha Customer Service,9235197878,91
MAN GROUP CUSTOMER CARE,7223061013,91
UNKNOWN CUSTOMER CARE,969309969,91
Nykka customer care,8902036540,91
customer care exicutive,9157590542,91
Delhi Airport Custom department,9067313339,91
custom department,8881901064,880
Customer Service,9601327029,91
Customer Service,8401787947,91
Suspect Delhi Customs,8282328433,91
Globe Customer Service,8140581017,91
Physics wallah customer support,8101038694,91
Physics wallah customer support,9973294682,91
Physics wallah customer support,7865930046,91
Physics wallah customer support,9635208814,91
Physics wallah customer support,7259108085,91
NILIT Customer Care,7718873091,91
Jio Fiber Customer Care Care,8617594673,91
PAYTM PAYMENT BANK CUSTOMER CARE,9370690479,91
Toll free number ka customer care,18601801290,91
Customer service,8319504290,62
Customer support,9558877239,91
Customer Support,9863851356,91
KHUSHI JANGID ( Customer),8905697871,91
Customer service,83842599932,62
Customer care,9601927304,
customer care,9558223804,91
Mahavitran Customer care,7044864476,91
SKILL NATION Customer Support,8600018809,91
Customer care,9558223804,91
Customer Service 1,57973868,852
Customer Service 2,98093250,852
Hibox customer support,8625057306,91
customer care,8077154113,91
fedex customer care,9243444760,91
customer care,8777491397,91
Customer Care 1,8055923882,91
Customer Care 2,8769694419,91
GOLDMAN CUSTOMER SUPPORT,9704165984,91
GOLDMAN CUSTOMER SUPPORT,8734020761,91
GOLDMAN CUSTOMER SUPPORT,9441467271,91
Mobikwik Customer Care,8036757712,
AKI-Customer Manager,8923049852,
BSNL Customer care,9191993644371,91
Customer service Brb,8005139507,
customer care of terawulf,8923087034,91
Customer care executive,9958363811,91
Customer care,8146132427,91
Tapas Customer of Pet Neverland,9875687705,91
CUSTOMER SERVICE,8849908033,91
DA customer care,9032275401,91
DA customer care,8699682061,91
DA Customer care,7893314922,91
DA customer service,9652001691,91
WEBSITE CUSTOMER SUPPORT,8795685308,91
WEBSITE CUSTOMER SUPPORT,8795685308,91
Customer care number,7602684198,
Customer Service Manager,7841910132,91
custom service delhi,8794462625,
Share India Online Customer Service,8179347901,91
Shuli kanu Telegram Customer,7029940239,91
delhi customs officer,8412070774,91
Customer Suport,18005472150,91
Goutam Raj ( Customs officer/ inspector),7082385292,
Ekart customer care,8002089898,
DA AI Customer Support,9041364431,91
DA AI customer support,8968012638,91
DA AI customer support,9063736391,91
SBI SECURITIES NO 89 CUSTOMER CARE,7305493825,91
Online customer care service,8276054874,91
Customer Service Manager,8837498728,91
